,location,total_sqft,bath,price,bhk
243,other,2026.0,3.0,132.0,3
244,other,1210.0,2.0,80.9,2
245,other,4111.0,4.0,250.0,4
246,other,1762.0,3.0,91.45,3
249,other,1420.0,2.0,100.0,3
250,other,1490.0,3.0,78.8,3
252,other,1425.0,2.0,94.0,3
260,other,1349.0,2.0,98.2,2
262,other,1417.0,2.0,75.0,2
263,other,1475.0,3.0,98.0,3
265,other,2000.0,4.0,120.0,4
269,other,1450.0,3.0,100.0,3
270,other,1847.0,3.0,105.0,3
272,other,525.0,1.0,26.0,1
273,other,1665.0,3.0,95.0,3
275,other,1850.0,3.0,150.0,3
276,other,1438.0,2.0,100.0,2
277,other,1560.0,3.0,115.0,3
282,other,1280.0,2.0,75.0,2
285,other,1385.0,2.0,83.09,2
286,other,1128.0,2.0,65.0,2
291,other,1645.0,3.0,95.0,3
292,other,1000.0,2.0,67.0,2
293,other,2650.0,4.0,198.0,4
294,other,1192.0,2.0,74.0,2
295,other,2135.0,3.0,215.0,3
298,other,3122.0,6.0,230.0,4
300,other,1200.0,2.0,79.0,2
303,other,1325.0,2.0,76.0,2
304,other,1850.0,3.0,150.0,3
305,other,525.0,2.0,21.53,1
306,other,1200.0,2.0,65.0,2
307,other,1350.0,2.0,140.0,3
309,other,1800.0,3.0,150.0,3
314,other,630.0,1.0,28.35,1
315,other,1762.0,3.0,125.0,3
316,other,950.0,2.0,50.0,2
317,other,3252.0,5.0,335.0,4
319,other,1308.0,2.0,89.04,2
320,other,1200.0,3.0,90.0,3
321,other,500.0,1.0,18.5,1
323,other,530.0,1.0,11.66,1
324,other,1205.0,2.0,66.0,2
325,other,1075.0,2.0,60.0,2
328,other,2483.0,5.0,212.0,4
330,other,1050.0,2.0,65.0,2
332,other,1600.0,2.0,108.0,3
333,other,1935.0,3.0,110.0,3
334,other,451.0,1.0,29.9,1
335,other,1800.0,3.0,95.0,3
336,other,1400.0,3.0,77.0,3
337,other,1801.0,3.0,115.0,3
338,other,1451.0,2.0,90.0,2
344,other,1580.0,2.0,134.0,3
345,other,1826.0,3.0,121.0,3
346,other,1245.0,2.0,94.0,2
349,other,1693.0,3.0,108.0,3
354,other,1656.0,2.0,120.0,2
356,other,1910.0,3.0,161.0,3
357,other,3252.0,4.0,230.0,4
358,other,1200.0,2.0,65.0,2
359,other,1175.0,2.0,82.0,2
360,other,1200.0,2.0,125.0,4
364,other,1760.0,3.0,88.0,3
365,other,1125.0,2.0,62.0,2
366,other,1000.0,2.0,55.0,2
369,other,1991.0,4.0,103.0,3
371,other,1105.0,2.0,75.0,2
372,other,985.0,2.0,67.0,2
373,other,1590.0,3.0,79.0,3
375,other,1069.0,2.0,55.0,2
376,other,1933.0,3.0,140.0,3
377,other,1194.0,2.0,69.0,2
378,other,1150.0,2.0,69.0,2
383,other,708.0,1.0,40.0,2
384,other,11890.0,4.0,700.0,4
385,other,1250.0,2.0,76.0,2
386,other,1400.0,2.0,95.0,3
388,other,1750.0,3.0,100.0,3
390,other,1715.0,2.0,95.0,3
391,other,630.0,1.0,34.65,1
392,other,1752.12,3.0,135.0,3
395,other,1346.0,2.0,74.03,2
397,other,3309.0,4.0,325.0,4
399,other,1620.0,3.0,98.0,3
401,other,5000.0,9.0,360.0,11
405,other,1020.0,2.0,63.0,2
407,other,1760.0,2.0,130.0,3
408,other,1800.0,3.0,110.0,3
410,other,1440.0,2.0,95.0,2
413,other,1270.0,2.0,98.0,2
414,other,1200.0,2.0,62.0,2
416,other,1200.0,2.0,74.0,2
417,other,929.0,2.0,50.17,2
421,other,1130.0,2.0,60.0,2
422,other,1753.0,3.0,120.0,3
423,other,4500.0,7.0,337.0,5
424,other,1196.0,2.0,94.42,2
426,other,1128.0,2.0,63.0,2
427,other,1000.0,2.0,53.0,2
432,other,720.0,2.0,45.0,2
433,other,1511.0,3.0,95.0,3
436,other,375.0,2.0,26.0,1
441,other,1195.0,2.0,70.0,2
442,other,700.0,1.0,41.0,1
443,other,1246.0,2.0,67.0,2
447,other,3000.0,5.0,275.0,4
449,other,1595.0,3.0,115.0,3
450,other,1353.0,2.0,110.0,2
451,other,1599.0,3.0,125.0,3
452,other,1150.0,2.0,70.0,2
453,other,5230.0,6.0,465.0,4
455,other,1200.0,2.0,85.0,1
458,other,1867.0,3.0,160.0,3
462,other,1170.0,2.0,66.0,3
463,other,2400.0,4.0,245.0,3
469,other,1768.0,3.0,101.0,3
470,other,1325.0,2.0,90.0,3
471,other,1599.0,3.0,99.0,3
477,other,3450.0,5.0,260.0,3
483,other,525.0,1.0,27.25,1
485,other,1780.0,4.0,175.0,4
486,other,1056.0,2.0,80.0,2
487,other,595.0,1.0,33.32,1
489,other,2225.0,3.0,160.0,3
491,other,1490.0,3.0,84.0,3
492,other,1550.0,3.0,100.0,3
493,other,1600.0,3.0,86.0,3
495,other,4144.0,4.0,315.0,4
496,other,2100.0,3.0,125.0,3
498,other,2230.0,4.0,225.0,4
499,other,1544.0,3.0,120.0,3
501,other,1230.0,2.0,80.0,2
502,other,1200.0,2.0,65.0,2
503,other,1460.0,3.0,73.0,3
505,other,540.0,1.0,36.0,1
506,other,715.0,1.0,46.0,1
509,other,1253.0,2.0,102.0,2
512,other,1419.0,3.0,75.0,3
513,other,1709.0,3.0,150.0,3
514,other,1600.0,2.0,115.0,2
515,other,416.0,1.0,18.5,1
516,other,1100.0,2.0,98.0,2
519,other,1630.0,3.0,85.0,3
521,other,1450.0,2.0,85.0,3
522,other,2791.0,3.0,223.0,3
523,other,834.0,1.0,60.0,1
524,other,1125.0,4.0,70.0,3
525,other,2060.0,3.0,140.0,3
529,other,3000.0,5.0,260.0,4
535,other,4104.0,4.0,360.0,4
536,other,1790.0,3.0,100.0,3
537,other,1920.0,3.0,134.0,3
538,other,1374.0,2.0,95.0,2
539,other,1445.0,3.0,95.0,3
540,other,711.0,1.0,36.0,1
541,other,1500.0,3.0,95.0,3
542,other,1720.0,3.0,100.0,3
545,other,1200.0,2.0,85.0,2
546,other,1375.0,3.0,70.0,3
547,other,1050.0,1.0,56.0,2
548,other,2250.0,3.0,160.0,3
550,other,469.0,1.0,25.0,1
551,other,3800.0,4.0,250.0,4
557,other,875.0,2.0,52.8,2
558,other,750.0,1.0,40.0,1
559,other,1180.0,2.0,80.0,2
563,other,1128.0,2.0,60.0,2
564,other,1500.0,3.0,150.0,3
567,other,1100.0,2.0,58.0,3
569,other,3385.0,5.0,260.0,4
572,other,1260.0,2.0,67.39,2
576,other,2200.0,4.0,200.0,4
578,other,1702.0,3.0,130.0,3
580,other,2072.0,3.0,108.0,3
582,other,1200.0,2.0,70.0,3
583,other,1350.0,3.0,77.0,3
584,other,1180.0,2.0,78.34,3
585,other,1355.0,2.0,115.0,2
586,other,600.0,1.0,50.0,1
587,other,1640.0,2.0,120.0,3
590,other,1875.0,3.0,165.0,3
593,other,1683.0,3.0,109.0,3
594,other,1515.0,3.0,83.3,3
597,other,1083.0,2.0,61.75,2
598,other,600.0,2.0,55.0,2
599,other,2300.0,3.0,120.0,3
601,other,1750.0,3.0,120.0,3
603,other,1500.0,3.0,139.0,3
605,other,1500.0,2.0,87.0,3
608,other,5600.0,2.0,548.5,5
610,other,1092.0,2.0,98.5,3
612,other,2264.0,3.0,159.0,3
616,other,1337.0,2.0,82.0,2
618,other,1580.0,3.0,160.0,3
620,other,1640.0,4.0,91.0,3
622,other,1470.0,2.0,82.0,3
624,other,1050.0,2.0,71.0,2
625,other,1460.0,2.0,90.0,3
626,other,1823.0,3.0,100.0,3
630,other,1200.0,3.0,85.0,4
631,other,1590.0,2.0,125.0,3
634,other,1200.0,2.0,62.5,2
635,other,1688.0,3.0,118.0,3
641,other,2330.0,3.0,162.0,3
643,other,425.0,1.0,20.03,1
644,other,1155.0,2.0,59.95,2
648,other,600.0,1.0,60.0,1
649,other,1468.0,2.0,140.0,2
650,other,2280.0,4.0,126.0,3
651,other,1341.0,2.0,97.0,2
652,other,1279.0,2.0,77.0,2
658,other,2760.0,4.0,155.0,4
661,other,775.0,2.0,55.0,2
662,other,667.0,1.0,36.85,1
663,other,1070.0,2.0,55.0,2
664,other,1875.0,2.0,110.0,3
665,other,735.0,2.0,57.99,2
666,other,1750.0,3.0,130.0,3
667,other,1215.0,2.0,67.0,2
670,other,1779.0,3.0,89.61,3
671,other,1105.0,2.0,58.0,2
673,other,1694.0,2.0,150.0,2
674,other,2376.0,3.0,203.0,3
675,other,1975.0,3.0,150.0,3
678,other,445.0,1.0,28.0,1
679,other,1475.0,3.0,75.0,3
680,other,1618.0,3.0,82.5,3
681,other,1120.0,2.0,65.0,2
682,other,2181.0,3.0,152.0,4
683,other,1200.0,4.0,90.0,4
685,other,1179.0,2.0,66.02,2
686,other,1296.0,2.0,83.0,2
688,other,1400.0,2.0,77.0,3
689,other,1222.0,2.0,63.0,2
692,other,1779.0,3.0,112.0,3
694,other,4624.5,2.0,453.0,4
695,other,1056.0,2.0,61.0,2
699,other,1176.0,2.0,62.0,2
700,other,1352.0,3.0,135.0,3
701,other,1717.0,3.0,99.0,3
703,other,1246.0,2.0,67.3,2
705,other,1157.0,2.0,84.0,2
707,other,650.0,1.0,33.0,1
708,other,1349.0,2.0,98.0,2
709,other,1566.0,3.0,83.3,3
710,other,2830.0,3.0,195.0,4
714,other,3670.0,4.0,300.0,4
715,other,918.0,2.0,50.49,2
716,other,1950.0,4.0,130.0,4
717,other,1695.0,3.0,90.0,3
718,other,1705.0,3.0,95.0,3
719,other,1375.0,3.0,75.0,3
720,other,525.0,1.0,30.0,1
721,other,1447.0,2.0,83.0,2
723,other,1450.0,2.0,100.0,3
726,other,1128.0,2.0,68.75,2
728,other,1339.0,2.0,75.0,2
732,other,1200.0,3.0,95.0,4
733,other,1691.0,3.0,113.0,3
736,other,1122.5,2.0,58.935,2
737,other,1665.0,3.0,86.58,3
739,other,1142.0,2.0,70.0,2
740,other,1976.0,3.0,184.0,3
742,other,1567.0,2.0,92.0,2
750,other,1342.0,2.0,73.3,2
755,other,1652.0,3.0,85.0,3
756,other,2072.0,4.0,142.0,3
757,other,1740.0,2.0,95.0,3
758,other,1360.0,2.0,71.0,3
759,other,1145.0,2.0,60.0,3
761,other,1278.0,2.0,95.0,2
762,other,630.0,1.0,40.0,1
763,other,1100.0,3.0,58.0,3
764,other,1200.0,3.0,95.0,3
766,other,582.5,1.0,15.135,1
768,other,3300.0,5.0,240.0,5
769,other,4500.0,5.0,415.0,5
772,other,1200.0,2.0,66.0,3
774,other,1180.0,2.0,69.0,2
777,other,1385.0,2.0,80.0,2
778,other,1000.0,1.0,70.0,1
779,other,1897.0,3.0,130.0,3
780,other,1005.0,2.0,55.78,2
781,other,1575.0,3.0,125.0,3
782,other,975.0,2.0,65.0,2
783,other,1904.0,3.0,120.0,3
784,other,930.0,1.0,30.0,1
785,other,525.0,1.0,26.0,1
786,other,686.0,1.0,17.0,1
787,other,2400.0,3.0,150.0,2
788,other,2238.0,3.0,140.0,3
789,other,1174.0,2.0,69.0,2
790,other,3800.0,4.0,239.0,4
791,other,2225.0,2.0,125.0,3
792,other,918.0,2.0,52.0,2
794,other,1800.0,3.0,110.0,3
796,other,793.0,2.0,45.0,2
797,other,1710.0,3.0,107.0,3
798,other,1082.0,2.0,57.5,3
804,other,4239.0,5.0,423.0,5
805,other,884.0,1.0,58.0,2
806,other,1045.0,2.0,98.89,2
808,other,1935.0,4.0,130.0,3
810,other,1680.0,3.0,150.0,3
811,other,2470.0,5.0,247.0,4
812,other,2825.0,4.0,250.0,4
813,other,1800.0,4.0,187.0,5
814,other,1799.0,3.0,90.0,3
815,other,4348.5,2.0,304.0,4
816,other,400.0,1.0,11.0,1
817,other,1047.0,2.0,82.0,2
818,other,1282.0,2.0,87.0,2
820,other,1495.0,2.0,79.5,2
821,other,3260.0,4.0,240.0,4
823,other,1500.0,2.0,95.0,3
824,other,1500.0,2.0,95.0,3
825,other,3206.0,5.0,270.0,4
829,other,657.5,1.0,18.41,1
831,other,1300.0,1.0,115.0,2
835,other,1060.0,2.0,55.0,2
838,other,530.0,1.0,20.0,1
840,other,1350.0,2.0,80.0,2
843,other,1113.0,2.0,62.0,2
844,other,650.0,2.0,42.0,2
845,other,1325.0,2.0,71.55,2
847,other,1396.0,2.0,86.51,3
849,other,1825.0,3.0,100.0,3
853,other,1891.0,3.0,109.0,3
856,other,649.5,1.0,17.535,1
857,other,2400.0,6.0,125.0,8
858,other,665.0,1.0,36.85,1
859,other,1175.0,2.0,73.5,2
860,other,1425.0,2.0,80.0,2
862,other,1255.0,2.0,67.0,2
863,other,2112.95,4.0,145.0,3
864,other,600.0,1.0,22.0,1
865,other,1810.0,3.0,100.0,3
866,other,1200.0,2.0,93.0,2
868,other,1548.0,3.0,89.5,3
876,other,2268.0,3.0,163.0,4
878,other,1141.0,2.0,62.0,2
879,other,400.0,1.0,12.0,1
884,other,1843.0,3.0,95.84,3
885,other,1460.0,2.0,80.5,2
888,other,950.0,1.0,40.0,1
889,other,1246.0,2.0,64.5,2
890,other,711.0,1.0,38.0,1
893,other,1420.0,2.0,75.0,2
894,other,1250.0,2.0,68.75,3
899,other,1800.0,3.0,90.0,3
900,other,1600.0,4.0,125.0,5
904,other,2169.0,4.0,115.0,3
905,other,1050.0,2.0,55.5,2
906,other,3235.0,3.0,235.0,3
907,other,1200.0,3.0,66.0,3
910,other,1100.0,2.0,70.0,2
913,other,1662.0,3.0,85.1,3
914,other,1464.0,2.0,105.0,3
915,other,1234.0,2.0,80.0,2
919,other,1350.0,2.0,75.0,3
924,other,1161.0,2.0,64.08,2
925,other,1290.0,2.0,74.0,2
926,other,2557.0,3.0,141.0,3
927,other,1480.0,3.0,90.0,3
930,other,1470.0,2.0,88.64,3
931,other,500.0,1.0,14.0,1
933,other,1600.0,3.0,90.0,3
936,other,6136.0,4.0,560.0,4
937,other,918.0,2.0,48.0,2
938,other,1500.0,3.0,115.0,3
939,other,1315.0,2.0,85.0,2
942,other,3100.0,4.0,265.0,5
943,other,1824.0,3.0,125.0,3
944,other,1420.0,2.0,96.0,3
945,other,750.0,1.0,56.25,1
947,other,1561.0,3.0,95.0,3
949,other,1225.0,2.0,67.38,2
950,other,2144.0,3.0,135.0,3
952,other,1639.0,3.0,110.0,3
953,other,1240.0,2.0,62.0,3
956,other,1575.0,3.0,78.0,3
958,other,1082.0,2.0,56.0,3
960,other,1665.0,3.0,86.58,3
962,other,1691.0,2.0,102.0,3
965,other,1666.0,4.0,150.0,5
968,other,1128.0,2.0,105.0,2
971,other,1192.0,2.0,75.0,2
972,other,1920.0,3.0,115.0,3
974,other,1357.0,2.0,115.0,2
977,other,2400.0,4.0,200.0,4
978,other,1570.0,3.0,80.0,3
979,other,1093.0,2.0,70.0,2
980,other,1865.0,3.0,145.0,3
981,other,1039.0,2.0,80.0,2
982,other,1246.0,2.0,64.5,2
987,other,1800.0,3.0,175.0,3
990,other,1360.0,2.0,95.0,2
991,other,6000.0,5.0,400.0,4
993,other,1200.0,4.0,120.0,4
994,other,1330.0,2.0,92.5,2
995,other,1937.0,3.0,160.0,3
996,other,1128.0,2.0,65.49,2
998,other,1198.0,2.0,77.0,2
1001,other,1397.0,3.0,105.0,3
1003,other,700.0,1.0,38.0,1
1004,other,1170.0,2.0,62.5,2
1006,other,2400.0,3.0,170.0,3
1008,other,1897.0,3.0,120.0,3
1009,other,996.0,2.0,67.0,2
1010,other,1875.0,3.0,110.0,3
1011,other,1500.0,2.0,98.0,3
1013,other,697.0,1.0,45.0,1
1014,other,710.0,1.0,27.0,1
1019,other,3335.0,5.0,300.0,4
1021,other,1281.0,2.0,74.0,2
1022,other,565.0,1.0,35.0,1
1026,other,1300.0,2.0,75.0,3
1028,other,1200.0,1.0,28.0,1
1029,other,1510.0,2.0,105.0,3
1030,other,950.0,2.0,65.0,2
1031,other,1945.0,3.0,97.42,3
1033,other,1265.0,2.0,79.0,3
1034,other,1255.0,2.0,77.68,3
1035,other,2689.0,6.0,220.0,4
1038,other,1535.0,3.0,85.0,3
1039,other,1500.0,3.0,100.0,3
1040,other,1475.0,2.0,120.0,3
1044,other,1560.0,5.0,145.0,5
1047,other,1697.0,3.0,94.79,3
1048,other,1651.0,3.0,97.38,3
1049,other,1192.0,2.0,60.0,3
1050,other,1078.0,2.0,65.0,2
1051,other,1349.0,2.0,78.0,2
1052,other,1680.0,3.0,120.0,3
1056,other,5000.0,4.0,400.0,4
1059,other,1621.0,4.0,130.0,3
1060,other,1200.0,3.0,68.4,3
1062,other,14000.0,3.0,800.0,4
1063,other,500.0,1.0,20.0,1
1064,other,485.0,1.0,15.0,1
1068,other,1408.0,2.0,85.0,2
1070,other,1410.0,2.0,75.0,3
1075,other,1535.0,3.0,78.0,3
1076,other,1180.0,2.0,75.0,2
1078,other,1400.0,2.0,78.0,2
1079,other,500.0,1.0,25.0,1
1080,other,1984.0,4.0,146.0,3
1081,other,3000.0,5.0,250.0,4
1082,other,1960.0,3.0,160.0,3
1085,other,1700.0,3.0,115.0,3
1086,other,3024.0,5.0,248.0,4
1087,other,1586.0,3.0,100.0,3
1088,other,2264.0,2.0,155.0,3
1092,other,1128.0,2.0,59.0,2
1093,other,924.0,2.0,65.0,2
1098,other,957.0,2.0,56.0,2
1100,other,1050.0,2.0,67.0,2
1101,other,1565.0,3.0,88.5,3
1103,other,2842.0,3.0,162.0,3
1105,other,630.0,1.0,39.0,1
1107,other,1542.0,2.0,85.0,3
1108,other,2750.0,4.0,220.0,4
1109,other,3596.0,5.0,290.0,4
1113,other,1596.0,3.0,105.0,3
1116,other,1535.0,3.0,86.0,3
1119,other,665.0,1.0,50.75,1
1120,other,1500.0,2.0,100.0,3
1121,other,925.0,2.0,48.0,2
1122,other,3356.0,4.0,251.0,4
1126,other,1121.0,2.0,78.0,2
1129,other,1606.0,3.0,89.55,3
1130,other,1650.0,3.0,88.0,3
1131,other,1206.0,2.0,75.0,2
1134,other,1210.0,2.0,72.0,2
1137,other,680.0,1.0,44.0,1
1138,other,1355.0,3.0,83.87,3
1141,other,1070.0,2.0,56.1,2
1142,other,1200.0,3.0,85.0,3
1143,other,2000.0,4.0,120.0,4
1145,other,1610.0,3.0,90.0,3
1148,other,3467.86,6.0,249.0,4
1150,other,980.0,2.0,69.0,2
1152,other,1500.0,3.0,130.0,3
1153,other,1280.0,2.0,75.0,2
1154,other,1265.0,2.0,85.0,2
1155,other,1132.0,2.0,67.0,2
1157,other,940.0,2.0,49.0,2
1158,other,1515.0,3.0,88.0,3
1161,other,1655.0,3.0,86.06,3
1162,other,2060.0,3.0,149.0,3
1163,other,1730.0,3.0,96.0,3
1164,other,2195.0,4.0,127.0,3
1165,other,1650.0,3.0,125.0,3
1166,other,1200.0,2.0,71.0,2
1169,other,5000.0,7.0,299.0,7
1171,other,1380.0,2.0,80.0,2
1173,other,1200.0,2.0,78.0,2
1174,other,1639.0,3.0,98.32,3
1176,other,1739.0,3.0,116.0,3
1178,other,510.0,1.0,25.25,1
1185,other,1835.0,2.0,155.0,3
1187,other,1519.0,3.0,93.0,3
1189,other,1150.0,2.0,72.2,2
1190,other,1146.0,2.0,70.0,2
1193,other,2200.0,3.0,187.0,3
1194,other,3329.0,3.0,330.0,3
1195,other,785.0,1.0,55.0,1
1196,other,2900.0,4.0,300.0,3
1200,other,1700.0,3.0,110.0,3
1203,other,3600.0,4.0,300.0,4
1207,other,1197.0,2.0,84.0,2
1209,other,1105.0,2.0,65.0,2
1210,other,1850.0,3.0,100.0,3
1215,other,1300.0,2.0,69.0,3
1219,other,1093.0,2.0,65.0,2
1221,other,1654.0,3.0,100.0,3
1226,other,1535.0,3.0,95.0,3
1229,other,1700.0,2.0,150.0,2
1230,other,1330.0,2.0,71.0,2
1231,other,2500.0,3.0,135.0,3
1234,other,440.0,1.0,16.5,1
1235,other,1614.0,3.0,95.0,3
1240,other,1100.0,2.0,62.7,2
1244,other,1200.0,2.0,90.0,2
1246,other,1890.0,4.0,127.0,3
1248,other,1440.0,2.0,98.0,2
1249,other,650.0,1.0,38.0,1
1250,other,764.0,1.0,32.0,1
1254,other,1030.0,2.0,55.0,2
1256,other,1100.0,2.0,60.0,2
1258,other,1200.0,2.0,65.0,2
1260,other,1080.0,2.0,80.0,2
1261,other,2280.0,5.0,200.0,5
1262,other,1360.0,2.0,85.0,3
1263,other,1865.0,3.0,124.0,3
1264,other,1157.0,2.0,75.0,3
1266,other,1405.0,2.0,78.0,3
1268,other,1790.0,3.0,127.0,3
1269,other,1128.0,2.0,65.65,2
1270,other,1180.0,2.0,70.0,2
1271,other,1450.0,2.0,85.0,3
1272,other,340.0,1.0,10.0,1
1273,other,2000.0,3.0,166.0,4
1276,other,1246.0,2.0,68.0,2
1279,other,2465.0,5.0,234.0,3
1283,other,687.325,2.0,42.72,2
1288,other,1756.0,3.0,100.0,3
1289,other,628.0,1.0,24.0,1
1290,other,1207.0,2.0,63.0,2
1291,other,1765.0,3.0,125.0,3
1293,other,1532.0,3.0,92.0,3
1294,other,1650.0,3.0,110.0,3
1295,other,1200.0,4.0,105.0,4
1296,other,804.1,2.0,69.09,2
1297,other,1200.0,2.0,75.0,2
1299,other,1200.0,2.0,66.0,2
1301,other,2225.0,3.0,115.0,3
1303,other,1525.0,2.0,122.0,3
1306,other,400.0,1.0,14.0,1
1308,other,1272.0,2.0,95.05,2
1313,other,1610.0,2.0,111.0,3
1314,other,1694.0,2.0,125.0,2
1322,other,1297.0,2.0,112.0,2
1325,other,1012.0,2.0,66.5,2
1327,other,1282.0,2.0,72.0,2
1328,other,1843.0,3.0,92.15,3
1329,other,2400.0,3.0,200.0,4
1331,other,2790.0,5.0,198.0,4
1332,other,1330.0,2.0,86.98,2
1333,other,1400.0,2.0,73.0,3
1334,other,1192.0,2.0,71.0,2
1335,other,1297.0,2.0,103.0,2
1336,other,615.0,1.0,17.835,1
1337,other,1490.0,3.0,100.0,3
1338,other,1373.0,3.0,72.0,3
1343,other,1750.0,3.0,95.0,3
1353,other,2710.0,3.0,251.0,3
1354,other,3040.0,1.0,180.0,2
1356,other,1427.0,2.0,80.63,3
1365,other,2400.0,1.0,150.0,2
1366,other,1290.0,2.0,100.0,2
1368,other,1390.0,3.0,120.0,3
1369,other,1200.0,4.0,72.0,4
1371,other,1537.0,3.0,120.0,3
1372,other,1135.0,2.0,68.0,2
1373,other,1512.0,3.0,75.77,3
1374,other,900.0,2.0,55.0,2
1378,other,1985.0,4.0,189.0,3
1382,other,1200.0,5.0,110.0,4
1383,other,3198.0,4.0,200.0,4
1385,other,2483.0,5.0,215.0,4
1386,other,1550.0,4.0,130.0,4
1387,other,4111.0,4.0,310.0,4
1389,other,2500.0,3.0,250.0,3
1390,other,1690.0,3.0,125.0,3
1392,other,1600.0,3.0,80.0,3
1394,other,520.0,1.0,19.5,1
1399,other,1564.0,2.0,92.0,3
